Valor,Histo,EqHisto
0,8588,0
1,13231,8588
2,4010,0
3,3391,0
4,2661,0
5,2446,0
6,2150,0
7,1896,0
8,1678,0
9,1633,0
10,1499,0
11,1309,0
12,1357,0
13,1222,0
14,1270,0
15,1243,0
16,1281,0
17,1321,0
18,1277,0
19,1219,0
20,1315,13231
21,1187,0
22,1132,0
23,1134,0
24,1055,0
25,1010,0
26,947,4010
27,903,0
28,820,0
29,839,0
30,901,3391
31,808,0
32,776,0
33,724,0
34,736,2661
35,746,0
36,651,0
37,675,0
38,618,2446
39,557,0
40,498,0
41,507,2150
42,510,0
43,484,0
44,439,1896
45,481,0
46,404,1678
47,398,0
48,413,1633
49,433,0
50,396,1499
51,406,0
52,405,1309
53,441,0
54,421,1357
55,342,0
56,337,1222
57,379,0
58,421,1270
59,406,0
60,410,1243
61,395,1281
62,416,0
63,393,1321
64,401,0
65,399,1277
66,391,0
67,396,1219
68,405,0
69,364,1315
70,401,1187
71,418,0
72,387,1132
73,387,0
74,354,1134
75,368,1055
76,337,0
77,319,1010
78,377,947
79,309,903
80,325,820
81,340,0
82,309,839
83,352,901
84,330,808
85,346,776
86,331,724
87,354,736
88,330,746
89,345,651
90,295,675
91,311,618
92,331,557
93,342,1005
94,274,510
95,331,923
96,319,481
97,320,802
98,311,846
99,355,396
100,305,811
101,312,862
102,373,679
103,317,800
104,347,406
105,341,805
106,336,809
107,359,800
108,352,391
109,347,801
110,351,765
111,379,805
112,313,741
113,372,705
114,327,696
115,367,634
116,373,649
117,376,682
118,366,677
119,360,684
120,388,640
121,382,642
122,384,947
123,408,639
124,389,666
125,403,617
126,387,690
127,395,688
128,419,695
129,395,699
130,394,730
131,424,685
132,432,694
133,458,749
134,462,726
135,439,770
136,421,792
137,453,389
138,453,790
139,426,814
140,443,789
141,447,424
142,427,890
143,447,462
144,468,860
145,454,906
146,447,426
147,495,890
148,443,427
149,457,915
150,469,454
151,525,942
152,512,443
153,558,926
154,495,525
155,523,1070
156,523,495
157,465,523
158,548,988
159,567,548
160,615,567
161,561,615
162,606,1167
163,574,574
164,585,585
165,573,573
166,635,635
167,670,670
168,620,620
169,659,659
170,654,654
171,666,1269
172,603,628
173,628,621
174,621,613
175,613,637
176,637,663
177,663,601
178,601,1201
179,584,609
180,617,634
181,609,593
182,634,602
183,593,628
184,602,617
185,628,655
186,617,1250
187,655,617
188,620,663
189,630,591
190,617,608
191,663,652
192,591,639
193,608,616
194,652,671
195,639,1247
196,616,623
197,671,629
198,614,665
199,633,634
200,623,632
201,629,679
202,665,662
203,634,702
204,632,644
205,679,641
206,662,647
207,702,1256
208,644,694
209,641,684
210,647,619
211,629,620
212,627,653
213,694,653
214,684,727
215,619,728
216,620,693
217,653,727
218,653,725
219,727,745
220,728,756
221,693,769
222,727,0
223,725,890
224,745,843
225,756,862
226,769,852
227,890,0
228,843,878
229,862,809
230,852,769
231,878,773
232,809,768
233,769,774
234,773,717
235,768,685
236,774,690
237,717,668
238,685,728
239,690,672
240,668,629
241,728,628
242,672,639
243,629,660
244,628,639
245,639,1215
246,660,734
247,639,0
248,610,799
249,605,825
250,734,792
251,799,0
252,825,1693
253,792,0
254,1693,0
255,1872,1872
