Valor,Histo,EqHisto
0,0,0
1,0,1402
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,241022
11,0,25561
12,0,27185
13,0,27119
14,0,23827
15,0,25936
16,0,23791
17,0,26034
18,0,22855
19,0,26642
20,0,28518
21,0,22342
22,0,32830
23,0,24031
24,0,16251
25,0,19594
26,0,26138
27,0,0
28,0,45281
29,0,38852
30,0,30136
31,0,0
32,0,35341
33,0,37286
34,0,0
35,0,37495
36,0,43800
37,0,0
38,0,34553
39,0,38401
40,0,0
41,0,38121
42,0,39405
43,0,0
44,0,48651
45,0,0
46,0,41325
47,0,49463
48,0,0
49,0,0
50,0,56771
51,0,0
52,0,0
53,0,79926
54,0,0
55,0,55682
56,0,0
57,0,54869
58,0,0
59,0,43531
60,0,0
61,0,48322
62,0,48520
63,0,0
64,0,0
65,0,53459
66,0,0
67,0,70545
68,0,14454
69,0,43937
70,0,0
71,0,46885
72,0,0
73,0,45226
74,0,0
75,0,44903
76,0,0
77,0,51465
78,0,0
79,0,66571
80,0,14081
81,0,0
82,0,43626
83,0,43826
84,0,0
85,4,44737
86,24,0
87,111,48408
88,1263,0
89,234171,65955
90,2181,13946
91,4670,0
92,4652,43316
93,846,45149
94,1680,0
95,4921,48967
96,5086,0
97,2316,0
98,4665,72354
99,1395,0
100,5775,50713
101,5750,0
102,2499,52057
103,5615,0
104,6074,44756
105,1472,0
106,5269,68276
107,2527,0
108,6006,50057
109,6845,0
110,6472,49584
111,1502,0
112,5510,0
113,2684,69830
114,6486,15383
115,7645,47892
116,7080,0
117,1871,0
118,7041,54454
119,6988,0
120,2956,62290
121,6945,0
122,7360,0
123,1901,0
124,7585,93900
125,8222,0
126,7888,63066
127,6664,0
128,2215,53875
129,1045,17000
130,6568,0
131,7679,0
132,8608,81760
133,8235,0
134,8341,63342
135,8056,0
136,2010,0
137,7939,61714
138,9819,0
139,10760,0
140,10657,90246
141,9323,0
142,2362,0
143,9109,78778
144,10092,0
145,9463,0
146,4166,0
147,8693,81355
148,2702,0
149,12636,61375
150,16251,0
151,19594,59315
152,26138,0
153,45281,0
154,31296,83806
155,7556,0
156,30136,0
157,35341,60164
158,37286,0
159,37495,68902
160,35004,0
161,8796,0
162,34553,78583
163,38401,0
164,38121,0
165,39405,68041
166,38581,0
167,10070,0
168,41325,83714
169,49463,0
170,56771,0
171,79926,63327
172,55682,0
173,44073,0
174,10796,90923
175,43531,0
176,48322,48513
177,48520,0
178,53459,56043
179,70545,0
180,14454,0
181,43937,77047
182,46885,0
183,45226,54443
184,44903,0
185,51465,0
186,66571,68021
187,14081,0
188,43626,56799
189,43826,0
190,44737,0
191,48408,60002
192,65955,0
193,13946,49994
194,43316,0
195,45149,64041
196,48967,0
197,72354,48553
198,50713,0
199,41400,59456
200,10657,0
201,44756,48783
202,68276,0
203,50057,47943
204,49584,38016
205,69830,0
206,15383,49506
207,47892,0
208,54454,37916
209,62290,42500
210,93900,8956
211,63066,29291
212,53875,0
213,17000,45357
214,81760,0
215,63342,0
216,61714,0
217,90246,0
218,61172,0
219,17606,0
220,81355,0
221,61375,0
222,59315,0
223,83806,0
224,60164,0
225,52503,0
226,16399,0
227,78583,0
228,68041,0
229,83714,0
230,63327,0
231,75308,0
232,15615,0
233,48513,0
234,56043,0
235,77047,0
236,54443,0
237,68021,0
238,44058,0
239,12741,0
240,60002,0
241,49994,0
242,64041,0
243,48553,0
244,59456,0
245,38042,0
246,10741,0
247,47943,0
248,38016,0
249,49506,0
250,37916,0
251,42500,0
252,8956,0
253,29291,0
254,45357,0
255,1092683,1092683
