Valor,Histo,EqHisto
0,0,0
1,0,10522
2,0,0
3,0,0
4,0,0
5,0,139617
6,0,32123
7,0,0
8,0,0
9,0,0
10,0,0
11,0,170382
12,0,27071
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,236597
19,0,35721
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,317210
29,0,43418
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,270600
38,0,50560
39,0,0
40,0,68960
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,241097
48,0,0
49,0,57828
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,246644
57,0,0
58,0,63140
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,276095
66,0,0
67,0,69589
68,0,0
69,0,0
70,0,0
71,1,0
72,1,0
73,1,0
74,2,0
75,7,258192
76,6,0
77,7,73060
78,23,0
79,48,87178
80,59,0
81,152,0
82,290,0
83,7993,0
84,1932,0
85,139617,226148
86,9991,0
87,22132,70404
88,170382,0
89,27071,0
90,236597,0
91,35721,0
92,317210,180171
93,43418,0
94,270600,63875
95,50560,0
96,68960,0
97,241097,0
98,57828,146530
99,246644,0
100,63140,59122
101,276095,0
102,69589,0
103,258192,123740
104,73060,0
105,87178,55035
106,226148,0
107,70404,62650
108,180171,0
109,63875,0
110,146530,131755
111,59122,0
112,123740,52737
113,55035,0
114,62650,0
115,131755,0
116,52737,126634
117,126634,51248
118,51248,0
119,121760,0
120,51243,121760
121,113048,0
122,52460,51243
123,60401,0
124,107708,0
125,50398,113048
126,105386,52460
127,47910,0
128,105052,60401
129,45932,0
130,89722,0
131,44984,107708
132,50905,0
133,80923,50398
134,41989,0
135,79553,0
136,37922,105386
137,82051,47910
138,36727,0
139,74546,0
140,36962,105052
141,42812,45932
142,69733,0
143,34696,0
144,70119,89722
145,32085,44984
146,76793,50905
147,31051,0
148,76447,0
149,31301,80923
150,38023,41989
151,77222,0
152,29553,79553
153,84859,37922
154,25620,0
155,99565,82051
156,25645,36727
157,97236,0
158,26468,0
159,34125,74546
160,85138,36962
161,24892,42812
162,85508,0
163,21661,69733
164,84198,34696
165,21454,0
166,76983,70119
167,21839,32085
168,28741,0
169,74218,76793
170,20237,31051
171,86817,0
172,17784,76447
173,104404,31301
174,18070,38023
175,111383,0
176,18912,77222
177,25836,29553
178,115770,0
179,16499,84859
180,122270,25620
181,14138,0
182,143071,0
183,12685,125210
184,113002,0
185,11504,0
186,16426,97236
187,79413,26468
188,9607,34125
189,74113,0
190,8143,85138
191,64321,24892
192,7278,0
193,65725,85508
194,6554,21661
195,9552,0
196,61791,84198
197,5780,21454
198,45004,0
199,4995,76983
200,45348,50580
201,4039,0
202,61302,0
203,3073,94455
204,3829,0
205,115265,0
206,1961,104601
207,130184,0
208,796,0
209,89511,122474
210,179,0
211,155,0
212,65,0
213,28,130295
214,16,25836
215,5,0
216,7,0
217,6,115770
218,4,16499
219,1,0
220,0,0
221,1,136408
222,1,0
223,0,0
224,0,0
225,0,143071
226,0,12685
227,0,0
228,0,0
229,0,124506
230,0,16426
231,0,0
232,0,89020
233,0,0
234,0,74113
235,0,8143
236,0,64321
237,0,7278
238,0,65725
239,0,16106
240,0,0
241,0,67571
242,0,49999
243,0,45348
244,0,4039
245,0,68204
246,0,0
247,0,0
248,0,0
249,0,117226
250,0,0
251,0,0
252,0,130980
253,0,0
254,0,0
255,0,89979
